College,Branch,Category,Closing_Rank
JNTUH,MTECH-CSE,OC,1534
JNTUH,MTECH-CSE,BC-A,1632
JNTUH,MTECH-CSE,BC-B,1326
JNTUH,MTECH-CSE,BC-C,1622
JNTUH,MTECH-CSE,BC-D,1700
JNTUH,MTECH-CSE,SC,1673
JNTUH,MTECH-CSE,ST,1619
JNTUH,MTECH-ECE,OC,1538
JNTUH,MTECH-ECE,BC-A,1483
JNTUH,MTECH-ECE,BC-B,1417
JNTUH,MTECH-ECE,BC-C,1525
JNTUH,MTECH-ECE,BC-D,1370
JNTUH,MTECH-ECE,SC,1547
JNTUH,MTECH-ECE,ST,1500
JNTUH,MTECH-EEE,OC,1714
JNTUH,MTECH-EEE,BC-A,1721
JNTUH,MTECH-EEE,BC-B,1694
JNTUH,MTECH-EEE,BC-C,1931
JNTUH,MTECH-EEE,BC-D,1742
JNTUH,MTECH-EEE,SC,1685
JNTUH,MTECH-EEE,ST,1719
JNTUH,MTECH-MECH,OC,1375
JNTUH,MTECH-MECH,BC-A,1335
JNTUH,MTECH-MECH,BC-B,1613
JNTUH,MTECH-MECH,BC-C,1596
JNTUH,MTECH-MECH,BC-D,1548
JNTUH,MTECH-MECH,SC,1548
JNTUH,MTECH-MECH,ST,1567
JNTUH,MTECH-CIVIL,OC,1519
JNTUH,MTECH-CIVIL,BC-A,1589
JNTUH,MTECH-CIVIL,BC-B,1785
JNTUH,MTECH-CIVIL,BC-C,1600
JNTUH,MTECH-CIVIL,BC-D,1393
JNTUH,MTECH-CIVIL,SC,1419
JNTUH,MTECH-CIVIL,ST,1461
OU,MTECH-CSE,OC,1252
OU,MTECH-CSE,BC-A,1167
OU,MTECH-CSE,BC-B,1466
OU,MTECH-CSE,BC-C,1325
OU,MTECH-CSE,BC-D,1385
OU,MTECH-CSE,SC,1286
OU,MTECH-CSE,ST,1496
OU,MTECH-ECE,OC,1038
OU,MTECH-ECE,BC-A,1369
OU,MTECH-ECE,BC-B,989
OU,MTECH-ECE,BC-C,1303
OU,MTECH-ECE,BC-D,1116
OU,MTECH-ECE,SC,975
OU,MTECH-ECE,ST,1084
OU,MTECH-EEE,OC,1426
OU,MTECH-EEE,BC-A,1310
OU,MTECH-EEE,BC-B,1211
OU,MTECH-EEE,BC-C,1183
OU,MTECH-EEE,BC-D,1069
OU,MTECH-EEE,SC,1307
OU,MTECH-EEE,ST,1072
OU,MTECH-MECH,OC,1205
OU,MTECH-MECH,BC-A,1298
OU,MTECH-MECH,BC-B,1232
OU,MTECH-MECH,BC-C,1318
OU,MTECH-MECH,BC-D,1005
OU,MTECH-MECH,SC,1325
OU,MTECH-MECH,ST,1041
OU,MTECH-CIVIL,OC,1109
OU,MTECH-CIVIL,BC-A,1392
OU,MTECH-CIVIL,BC-B,1455
OU,MTECH-CIVIL,BC-C,1533
OU,MTECH-CIVIL,BC-D,1350
OU,MTECH-CIVIL,SC,1046
OU,MTECH-CIVIL,ST,1417
CBIT,MTECH-CSE,OC,1797
CBIT,MTECH-CSE,BC-A,1543
CBIT,MTECH-CSE,BC-B,1802
CBIT,MTECH-CSE,BC-C,1446
CBIT,MTECH-CSE,BC-D,1623
CBIT,MTECH-CSE,SC,1844
CBIT,MTECH-CSE,ST,1474
CBIT,MTECH-ECE,OC,1500
CBIT,MTECH-ECE,BC-A,1872
CBIT,MTECH-ECE,BC-B,1690
CBIT,MTECH-ECE,BC-C,1868
CBIT,MTECH-ECE,BC-D,1465
CBIT,MTECH-ECE,SC,1430
CBIT,MTECH-ECE,ST,1788
CBIT,MTECH-EEE,OC,1538
CBIT,MTECH-EEE,BC-A,1858
CBIT,MTECH-EEE,BC-B,1538
CBIT,MTECH-EEE,BC-C,1970
CBIT,MTECH-EEE,BC-D,1951
CBIT,MTECH-EEE,SC,1735
CBIT,MTECH-EEE,ST,1527
CBIT,MTECH-MECH,OC,1745
CBIT,MTECH-MECH,BC-A,1571
CBIT,MTECH-MECH,BC-B,1536
CBIT,MTECH-MECH,BC-C,1601
CBIT,MTECH-MECH,BC-D,1509
CBIT,MTECH-MECH,SC,1525
CBIT,MTECH-MECH,ST,1699
CBIT,MTECH-CIVIL,OC,1705
CBIT,MTECH-CIVIL,BC-A,1824
CBIT,MTECH-CIVIL,BC-B,2022
CBIT,MTECH-CIVIL,BC-C,2024
CBIT,MTECH-CIVIL,BC-D,1818
CBIT,MTECH-CIVIL,SC,1983
CBIT,MTECH-CIVIL,ST,1748
VNR,MTECH-CSE,OC,1146
VNR,MTECH-CSE,BC-A,1287
VNR,MTECH-CSE,BC-B,1268
VNR,MTECH-CSE,BC-C,1073
VNR,MTECH-CSE,BC-D,1424
VNR,MTECH-CSE,SC,1242
VNR,MTECH-CSE,ST,1308
VNR,MTECH-ECE,OC,852
VNR,MTECH-ECE,BC-A,1114
VNR,MTECH-ECE,BC-B,1234
VNR,MTECH-ECE,BC-C,1096
VNR,MTECH-ECE,BC-D,984
VNR,MTECH-ECE,SC,1210
VNR,MTECH-ECE,ST,786
VNR,MTECH-EEE,OC,1284
VNR,MTECH-EEE,BC-A,979
VNR,MTECH-EEE,BC-B,1154
VNR,MTECH-EEE,BC-C,924
VNR,MTECH-EEE,BC-D,958
VNR,MTECH-EEE,SC,1004
VNR,MTECH-EEE,ST,1251
VNR,MTECH-MECH,OC,1127
VNR,MTECH-MECH,BC-A,1211
VNR,MTECH-MECH,BC-B,883
VNR,MTECH-MECH,BC-C,1032
VNR,MTECH-MECH,BC-D,1164
VNR,MTECH-MECH,SC,1036
VNR,MTECH-MECH,ST,802
VNR,MTECH-CIVIL,OC,1107
VNR,MTECH-CIVIL,BC-A,918
VNR,MTECH-CIVIL,BC-B,1185
VNR,MTECH-CIVIL,BC-C,1197
VNR,MTECH-CIVIL,BC-D,773
VNR,MTECH-CIVIL,SC,1264
VNR,MTECH-CIVIL,ST,877
CVR,MTECH-CSE,OC,1472
CVR,MTECH-CSE,BC-A,1490
