Institute Name,Branch Code,OC BOYS,OC GIRLS,"BC_A BOYS","BC_A GIRLS","BC_B BOYS","BC_B GIRLS","BC_C BOYS","BC_C GIRLS","BC_D BOYS","BC_D GIRLS","BC_E BOYS","BC_E GIRLS","SC BOYS","SC GIRLS","ST BOYS","ST GIRLS","EWS BOYS","EWS GIRLS"
JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD,CSE,1594,1738,4274,5698,2051,2051,1594,1738,2885,2885,2365,2365,8611,10302,8653,8653,2525,2525
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,CSE,2447,2796,4952,6333,3126,3126,10181,10181,3448,3448,4250,5447,12557,12557,13533,16759,2447,3023
V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,CSE,2459,2459,5228,5335,3177,3727,5242,12361,3698,4232,4798,4924,12440,13734,16747,18382,2507,2507
JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD,CSM,2486,2623,6366,6366,3158,3901,2486,2623,3716,4556,6244,6244,12704,12704,10690,10690,3189,3189
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,CSM,2550,3000,5589,5589,3197,3883,2550,3000,2847,4716,4601,4601,15207,15207,16084,16084,2952,3741
O U COLLEGE OF ENGG  HYDERABAD,CSE,3116,3279,7684,7684,3545,5276,5687,5687,4151,5403,4306,4306,10042,10042,13470,15042,3367,3447
V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,CSM,3188,3234,6572,6646,4120,4704,7259,7259,5593,5593,5294,12793,16688,18233,21884,23695,3188,3234
VASAVI COLLEGE OF ENGINEERING,CSE,3207,3341,8620,11354,4782,4782,12034,12034,4502,5691,6508,6916,17333,20957,17781,27323,3207,3458
JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD,CSC,3281,4080,7945,12316,5957,6989,3281,10576,6469,10107,8377,9033,13372,13372,13388,18188,4213,5805
JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD,ECE,3651,6307,12520,12520,7340,7523,5143,6307,5937,6307,4791,6307,16857,16857,12169,16057,6263,6307
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,AIM,3815,3815,7888,12714,5486,9162,23320,23320,6049,6674,4796,4796,19819,23483,22562,22634,4880,4880
VASAVI COLLEGE OF ENGINEERING,CSM,3824,3904,7828,13128,5142,6064,3824,3904,5981,5981,3824,8084,18796,21810,26917,26917,3866,4866
V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,CSD,4048,4264,8732,10062,5561,5905,15906,15906,6289,6289,8448,13934,22797,23956,27096,27096,4125,4386
V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,AID,4233,4233,9205,14071,8627,8627,39848,39848,5634,7854,10380,11697,23707,23707,22874,31449,4233,4877
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,CIC,4275,5118,9884,13224,5573,7398,4275,28082,7007,8549,4275,11304,20497,20497,27849,27849,4275,5118
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,AID,4333,5399,13872,13872,6936,11274,4333,5399,5595,8059,8168,8168,22005,23121,23734,36206,4720,5819
V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,CSC,4384,4525,9328,15569,6614,6614,30531,30531,6829,6905,9758,14130,23218,23218,26508,26508,4738,4824
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,INF,4441,5410,10834,13524,7564,9792,22657,22657,6328,6328,6682,12200,27603,27603,25309,34266,4856,5410
V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,CSO,4696,4696,15445,21645,7952,10624,4696,4696,8364,8364,10874,10874,31796,37517,37047,46728,5205,5519
O U COLLEGE OF ENGG  HYDERABAD,AIM,4781,5477,9532,9532,6818,6818,4781,19380,9131,11458,7327,15155,16717,16888,18880,23419,5188,6071
V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,INF,4918,5839,16089,16089,7804,7804,32694,32694,7861,7861,8216,14499,31363,31363,34894,37544,4918,5980
V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,CSB,5396,5722,9146,9146,9598,9696,5396,5722,7910,7910,11322,11322,25055,28898,28921,41175,5485,6158
O U COLLEGE OF ENGG  HYDERABAD,ECE,5480,6491,14138,14138,9499,10845,5480,6491,11406,11406,5703,22326,18333,18333,15623,18680,8633,8633
GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH,CSE,5555,6202,13508,15432,9272,9272,25132,25132,7425,9110,9378,11614,24378,29500,28608,38359,5565,6534
VASAVI COLLEGE OF ENGINEERING,INF,5992,6157,16029,16882,9134,12422,39673,39673,8213,10587,7335,13711,32471,32471,33106,46248,6485,7024
